,TF-IDF
quiz,0.3067083512264953
happy,0.18031821441022475
sad,0.17224069427917632
christmas,0.1708763479171788
see,0.1694680879592972
chat,0.16418821208077664
less,0.16329815764592803
sometimes,0.161435100644373
upset,0.1558967855432027
best,0.15364295637119188
excite,0.149506795668796
elderly,0.149506795668796
skype,0.149506795668796
reassure,0.149506795668796
hopeful,0.14428180284323508
worry,0.13840817908265537
family,0.13176732732998522
calm,0.13080809670491653
anything,0.12615168812290167
cancel,0.12382877945542929
quite,0.11842781139862699
okay,0.118126262045488
frustrate,0.11330485227405512
safe,0.11330485227405512
help,0.11102643929590163
recently,0.11073267049147643
try,0.1103241576780084
forward,0.10760233486411383
rather,0.10686636554975648
say,0.10338250476757231
video,0.10278092509268096
pass,0.10214903991008403
daily,0.10214903991008403
anxious,0.09860442997819707
low,0.09860442997819707
enjoy,0.09750686989983655
far,0.09542094692474158
really,0.09353783283535436
problem,0.09253176324550995
task,0.09253176324550995
usually,0.09162511272870985
still,0.09145172972226213
focus,0.08988704044998158
together,0.08784204736434348
speak,0.08744861761422598
health,0.08629717767287746
past,0.08555244599602274
may,0.08482503524040803
thing,0.08404047666190478
would,0.08364674256357517
time,0.08353080711776438
make,0.08353080711776438
face,0.08273911226531307
issue,0.0824045930045899
think,0.08153202633081796
however,0.08078364725924844
stress,0.08015808135189875
feel,0.0766734810565081
phone,0.0766466685779804
go,0.07609843305233081
night,0.07502851881464856
every,0.07399446587024854
hard,0.07348998311525155
call,0.07226326695771206
person,0.07202359335021233
feeling,0.07202359335021233
away,0.07178574237333168
live,0.07085202370016468
plan,0.07085202370016468
keep,0.07062288529269602
talk,0.06778746570531026
happen,0.06636089421774288
get,0.06540955039792119
able,0.0646174381275322
look,0.06208494829536895
week,0.0615679571407932
pandemic,0.05958143229828354
life,0.058323885923629894
year,0.05771357870168863
much,0.05414739080914601
home,0.052956992275179235
want,0.05058352741236678
know,0.049869946969924514
take,0.046316939332864314
like,0.04600364202820457
power,0.0
ab,0.0
practise,0.0
powerful,0.0
pram,0.0
precedent,0.0
precautionary,0.0
precaution,0.0
prayer,0.0
prayed,0.0
pray,0.0
prawn,0.0
praise,0.0
powerless,0.0
pragmatic,0.0
practitioner,0.0
practice,0.0
practically,0.0
practical,0.0
powerpoint,0.0
powerlessness,0.0
powder,0.0
pot,0.0
poured,0.0
positive,0.0
pose,0.0
portuguese,0.0
portrayed,0.0
portray,0.0
portrait,0.0
portion,0.0
portal,0.0
porridge,0.0
pork,0.0
porch,0.0
population,0.0
popular,0.0
popcorn,0.0
pop,0.0
poorly,0.0
poor,0.0
pool,0.0
poodle,0.0
ponytail,0.0
pontificating,0.0
ponder,0.0
position,0.0
positively,0.0
pour,0.0
posses,0.0
pound,0.0
potter,0.0
potently,0.0
potentially,0.0
potential,0.0
potato,0.0
precisely,0.0
posture,0.0
postponed,0.0
postpone,0.0
posting,0.0
postgraduate,0.0
posters,0.0
poster,0.0
postcard,0.0
postage,0.0
post,0.0
possibly,0.0
possible,0.0
possibility,0.0
possessive,0.0
precise,0.0
preparing,0.0
predicament,0.0
productivity,0.0
productive,0.0
production,0.0
product,0.0
produce,0.0
procrastinate,0.0
processor,0.0
processing,0.0
process,0.0
proceed,0.0
procedure,0.0
probationary,0.0
probation,0.0
probably,0.0
probable,0.0
probability,0.0
proactively,0.0
proactive,0.0
pro,0.0
privileged,0.0
privilege,0.0
privately,0.0
private,0.0
privacy,0.0
productively,0.0
prof,0.0
priority,0.0
profess,0.0
promotion,0.0
promote,0.0
promising,0.0
promise,0.0
prominent,0.0
prolonged,0.0
prolong,0.0
prolific,0.0
projector,0.0
project,0.0
prohibit,0.0
progressive,0.0
progress,0.0
programme,0.0
program,0.0
profusely,0.0
profitable,0.0
profit,0.0
profile,0.0
professor,0.0
professionally,0.0
professionalism,0.0
professional,0.0
prison,0.0
prioritise,0.0
predict,0.0
president,0.0
presentations,0.0
presentation,0.0
presentable,0.0
present,0.0
presence,0.0
prescription,0.0
prescribe,0.0
prepping,0.0
pollution,0.0
prepared,0.0
prepare,0.0
preparation,0.0
prep,0.0
pregnant,0.0
pregnancy,0.0
prefers,0.0
preferably,0.0
prefer,0.0
predominately,0.0
predominantly,0.0
predicted,0.0
predictable,0.0
predictability,0.0
presently,0.0
press,0.0
prior,0.0
pressing,0.0
printer,0.0
print,0.0
prince,0.0
prime,0.0
primary,0.0
prim,0.0
pride,0.0
prick,0.0
price,0.0
previously,0.0
previous,0.0
prevents,0.0
prevent,0.0
prevalent,0.0
pretty,0.0
pretentious,0.0
pretend,0.0
pret,0.0
presume,0.0
presumably,0.0
presumable,0.0
pressurise,0.0
pressure,0.0
pond,0.0
pm,0.0
politics,0.0
personality,0.0
persists,0.0
persistent,0.0
persist,0.0
persian,0.0
persevere,0.0
perpetual,0.0
permit,0.0
permanently,0.0
permanent,0.0
period,0.0
perhaps,0.0
perfumery,0.0
perfume,0.0
performer,0.0
performance,0.0
perform,0.0
perfectly,0.0
perfectionist,0.0
perfect,0.0
percy,0.0
perception,0.0
percentage,0.0
percent,0.0
personal,0.0
personally,0.0
perceive,0.0
personnel,0.0
physic,0.0
phys,0.0
phrase,0.0
photography,0.0
photograph,0.0
photo,0.0
phonology,0.0
phonetics,0.0
philosophy,0.0
philippine,0.0
phenomenology,0.0
phase,0.0
pharmacy,0.0
pharmacist,0.0
pfc,0.0
petulant,0.0
petty,0.0
petrol,0.0
pet,0.0
pesto,0.0
pessimistic,0.0
persuade,0.0
perspective,0.0
perceived,0.0
per,0.0
physicality,0.0
pea,0.0
payslip,0.0
payroll,0.0
payment,0.0
payday,0.0
paycheck,0.0
pay,0.0
pavement,0.0
pause,0.0
pattern,0.0
patronise,0.0
patient,0.0
patience,0.0
pathway,0.0
pathetic,0.0
path,0.0
paternal,0.0
patch,0.0
pat,0.0
pasty,0.0
pastry,0.0
pastoral,0.0
pasta,0.0
passport,0.0
pc,0.0
peace,0.0
pepsi,0.0
peaceful,0.0
pepper,0.0
people,0.0
pension,0.0
pennington,0.0
pending,0.0
pendent,0.0
pencil,0.0
penang,0.0
penalty,0.0
pen,0.0
pellet,0.0
peeve,0.0
peer,0.0
peep,0.0
peel,0.0
pee,0.0
pedestal,0.0
peaty,0.0
peasant,0.0
pear,0.0
peanut,0.0
peak,0.0
peacetime,0.0
physical,0.0
physically,0.0
politician,0.0
plunge,0.0
plum,0.0
plug,0.0
plough,0.0
plot,0.0
plod,0.0
plenty,0.0
pleasure,0.0
please,0.0
pleasantly,0.0
pleasant,0.0
plead,0.0
playstation,0.0
playing,0.0
playground,0.0
player,0.0
play,0.0
platform,0.0
plate,0.0
plat,0.0
plastic,0.0
plant,0.0
planning,0.0
planner,0.0
plump,0.0
plus,0.0
plank,0.0
plush,0.0
political,0.0
politely,0.0
polite,0.0
polish,0.0
policy,0.0
policeman,0.0
police,0.0
polarisation,0.0
poland,0.0
pokemon,0.0
poke,0.0
poisoning,0.0
poison,0.0
pointless,0.0
point,0.0
poetry,0.0
poem,0.0
podcasts,0.0
podcast,0.0
pocket,0.0
poached,0.0
prompt,0.0
plymouth,0.0
planned,0.0
planet,0.0
physio,0.0
pimple,0.0
pillow,0.0
pillar,0.0
pill,0.0
pile,0.0
piggy,0.0
pig,0.0
piercing,0.0
pierce,0.0
pier,0.0
piece,0.0
pie,0.0
picture,0.0
picky,0.0
pickle,0.0
picking,0.0
pick,0.0
piccadilly,0.0
pic,0.0
piano,0.0
physiotherapy,0.0
physiotherapist,0.0
physiology,0.0
physiological,0.0
pilot,0.0
pin,0.0
plane,0.0
pineapple,0.0
plait,0.0
plaintiff,0.0
plain,0.0
placement,0.0
placebo,0.0
place,0.0
pizzas,0.0
pizza,0.0
pivotal,0.0
pivot,0.0
pity,0.0
pitta,0.0
pitch,0.0
pit,0.0
piss,0.0
pirate,0.0
piper,0.0
pipe,0.0
pip,0.0
pious,0.0
pint,0.0
pinpoint,0.0
ping,0.0
promotional,0.0
protectiveness,0.0
promptly,0.0
relieved,0.0
rely,0.0
reluctantly,0.0
reluctant,0.0
reluctance,0.0
relocation,0.0
relocate,0.0
relived,0.0
relive,0.0
relish,0.0
religious,0.0
religion,0.0
relieve,0.0
remainder,0.0
relief,0.0
reliant,0.0
reliance,0.0
reliable,0.0
relevant,0.0
relentlessly,0.0
relent,0.0
release,0.0
relay,0.0
relaxing,0.0
relaxes,0.0
remain,0.0
remains,0.0
redundant,0.0
renew,0.0
repeating,0.0
repeatedly,0.0
repeat,0.0
repair,0.0
rep,0.0
reopen,0.0
rented,0.0
rent,0.0
renovation,0.0
renovate,0.0
renewal,0.0
render,0.0
remark,0.0
remove,0.0
removal,0.0
remotely,0.0
remote,0.0
remorse,0.0
reminisce,0.0
reminds,0.0
reminder,0.0
remind,0.0
remembers,0.0
remember,0.0
relaxed,0.0
relax,0.0
relatively,0.0
refocus,0.0
regardless,0.0
regard,0.0
regain,0.0
reg,0.0
refuse,0.0
refusal,0.0
refurbishment,0.0
refund,0.0
refugee,0.0
refresh,0.0
refrain,0.0
reflux,0.0
relative,0.0
reflective,0.0
reflection,0.0
reflect,0.0
refine,0.0
refill,0.0
referral,0.0
referencing,0.0
reference,0.0
refer,0.0
ref,0.0
reemerging,0.0
region,0.0
regional,0.0
register,0.0
registration,0.0
relationships,0.0
relationship,0.0
relation,0.0
related,0.0
relate,0.0
relapse,0.0
rejuvenate,0.0
rejoice,0.0
rejection,0.0
reject,0.0
reiterate,0.0
reinforce,0.0
reheat,0.0
rehearse,0.0
rehearsal,0.0
regurgitate,0.0
regulation,0.0
regulated,0.0
regularly,0.0
regular,0.0
regretful,0.0
regret,0.0
regress,0.0
repercussion,0.0
repetitive,0.0
replace,0.0
restore,0.0
retaliation,0.0
retaliate,0.0
retainer,0.0
retail,0.0
resume,0.0
result,0.0
resubmission,0.0
restrictive,0.0
restriction,0.0
restrict,0.0
restraint,0.0
restock,0.0
respective,0.0
restless,0.0
restaurant,0.0
restart,0.0
rest,0.0
responsible,0.0
responsibility,0.0
response,0.0
respond,0.0
respite,0.0
respiratory,0.0
respiration,0.0
rethink,0.0
rethinking,0.0
retinol,0.0
retire,0.0
revue,0.0
revolve,0.0
revive,0.0
revisit,0.0
revision,0.0
revising,0.0
revised,0.0
revise,0.0
reviewing,0.0
reviewer,0.0
review,0.0
revert,0.0
reverse,0.0
revenue,0.0
revenge,0.0
revelation,0.0
reveal,0.0
reusable,0.0
reunite,0.0
returning,0.0
return,0.0
retrieve,0.0
retreat,0.0
respectively,0.0
respectful,0.0
replaceable,0.0
repression,0.0
research,0.0
rescuer,0.0
rescue,0.0
reschedule,0.0
requirement,0.0
required,0.0
require,0.0
request,0.0
reputation,0.0
republic,0.0
reprimand,0.0
reposition,0.0
respect,0.0
reporting,0.0
report,0.0
replying,0.0
reply,0.0
replied,0.0
replicate,0.0
replica,0.0
repletion,0.0
replenish,0.0
replay,0.0
replacement,0.0
researcher,0.0
researching,0.0
resection,0.0
resemble,0.0
resourceful,0.0
resource,0.0
resort,0.0
resonate,0.0
resolve,0.0
resistant,0.0
resistance,0.0
resilient,0.0
resilience,0.0
resignation,0.0
resign,0.0
residential,0.0
resident,0.0
residence,0.0
reside,0.0
reset,0.0
reservoir,0.0
reserved,0.0
reserve,0.0
reservation,0.0
resentment,0.0
resentful,0.0
resent,0.0
reel,0.0
redundancy,0.0
proof,0.0
qualify,0.0
queue,0.0
questionnaire,0.0
question,0.0
ques,0.0
query,0.0
queen,0.0
que,0.0
quarter,0.0
quarantine,0.0
quantity,0.0
quality,0.0
qualification,0.0
quick,0.0
python,0.0
pyjama,0.0
puzzle,0.0
put,0.0
push,0.0
pursue,0.0
purse,0.0
purposefully,0.0
purposeful,0.0
purpose,0.0
purple,0.0
quiche,0.0
quicker,0.0
reduction,0.0
racist,0.0
raise,0.0
rainy,0.0
rainbows,0.0
rain,0.0
railway,0.0
rage,0.0
radiographer,0.0
radioactive,0.0
radio,0.0
radiator,0.0
rack,0.0
racism,0.0
quickly,0.0
race,0.0
rabbit,0.0
quran,0.0
quote,0.0
quoin,0.0
quit,0.0
quintessential,0.0
quinoa,0.0
quilt,0.0
quietly,0.0
quiet,0.0
purge,0.0
purely,0.0
pure,0.0
protagonist,0.0
provide,0.0
proven,0.0
prove,0.0
proud,0.0
protocol,0.0
protest,0.0
protein,0.0
passionate,0.0
protective,0.0
protection,0.0
protect,0.0
prospective,0.0
purchase,0.0
prospect,0.0
proprietary,0.0
propose,0.0
proposal,0.0
proportion,0.0
property,0.0
properly,0.0
proper,0.0
propel,0.0
propagate,0.0
prop,0.0
provision,0.0
provoke,0.0
prudent,0.0
psychiatrist,0.0
pupils,0.0
pupil,0.0
punishment,0.0
punish,0.0
punch,0.0
pumpkin,0.0
pump,0.0
pull,0.0
puffy,0.0
puff,0.0
pudding,0.0
publish,0.0
publication,0.0
public,0.0
pub,0.0
pt,0.0
psychotic,0.0
psychosomatic,0.0
psychosis,0.0
psychology,0.0
psychologist,0.0
psychologically,0.0
psychological,0.0
raised,0.0
raisin,0.0
rally,0.0
recent,0.0
recommence,0.0
recognize,0.0
recognise,0.0
reckon,0.0
reckless,0.0
recite,0.0
reciprocate,0.0
recipient,0.0
recipe,0.0
receptionist,0.0
reception,0.0
receiver,0.0
reasonably,0.0
received,0.0
receive,0.0
recap,0.0
recall,0.0
rebuild,0.0
rebellion,0.0
rebalanced,0.0
reassuring,0.0
reassured,0.0
reassurance,0.0
reassess,0.0
recommend,0.0
reconcile,0.0
reconsider,0.0
record,0.0
reduce,0.0
redstart,0.0
redirect,0.0
redefine,0.0
redecorate,0.0
red,0.0
recycling,0.0
recycle,0.0
recur,0.0
recuperate,0.0
rectify,0.0
rectangle,0.0
recruitment,0.0
recruit,0.0
recreational,0.0
recreation,0.0
recreate,0.0
recovery,0.0
recover,0.0
recount,0.0
recording,0.0
recorder,0.0
recorded,0.0
reasoning,0.0
reasonable,0.0
ram,0.0
rape,0.0
rational,0.0
rating,0.0
rate,0.0
rat,0.0
raspberry,0.0
rash,0.0
rarely,0.0
rare,0.0
rapport,0.0
rapidly,0.0
rapid,0.0
rant,0.0
reason,0.0
range,0.0
rang,0.0
randomly,0.0
random,0.0
rand,0.0
ranch,0.0
ran,0.0
ramen,0.0
rambling,0.0
ramble,0.0
ramadan,0.0
rationality,0.0
rationally,0.0
raw,0.0
ray,0.0
rearrange,0.0
rear,0.0
reappear,0.0
realizing,0.0
realize,0.0
realization,0.0
reality,0.0
realistically,0.0
realistic,0.0
realist,0.0
realised,0.0
realise,0.0
realisation,0.0
real,0.0
reaffirm,0.0
ready,0.0
reading,0.0
readied,0.0
reader,0.0
read,0.0
reaction,0.0
react,0.0
reach,0.0
passive,0.0
paris,0.0
passion,0.0
meet,0.0
memoir,0.0
memo,0.0
membrane,0.0
member,0.0
meltdown,0.0
melon,0.0
melba,0.0
meg,0.0
meetups,0.0
meetup,0.0
meeting,0.0
medium,0.0
meat,0.0
meditation,0.0
meditate,0.0
mediocre,0.0
medicine,0.0
medication,0.0
medical,0.0
medias,0.0
medal,0.0
mechanism,0.0
mechanic,0.0
mech,0.0
memory,0.0
men,0.0
menagerie,0.0
mend,0.0
messiah,0.0
messenger,0.0
message,0.0
mess,0.0
merry,0.0
merit,0.0
meringues,0.0
merge,0.0
merely,0.0
mere,0.0
meow,0.0
menu,0.0
mentorship,0.0
mentor,0.0
mentioned,0.0
mention,0.0
mentally,0.0
mentality,0.0
mental,0.0
menstruation,0.0
menstrual,0.0
meningitis,0.0
menial,0.0
meatball,0.0
measuring,0.0
marinate,0.0
masculine,0.0
matching,0.0
match,0.0
mat,0.0
master,0.0
massively,0.0
massive,0.0
massage,0.0
mass,0.0
masks,0.0
mask,0.0
mash,0.0
mascara,0.0
measure,0.0
martyrdom,0.0
marsala,0.0
marry,0.0
married,0.0
marriage,0.0
marmite,0.0
marking,0.0
marketplace,0.0
market,0.0
marker,0.0
mark,0.0
matchup,0.0
mate,0.0
material,0.0
materialise,0.0
meanwhile,0.0
meantime,0.0
meant,0.0
meaningless,0.0
meaningful,0.0
meaning,0.0
mean,0.0
meal,0.0
meagre,0.0
mcdonald,0.0
mccoy,0.0
mayonnaise,0.0
mayo,0.0
mayhem,0.0
maybe,0.0
maximum,0.0
maximise,0.0
max,0.0
mature,0.0
matter,0.0
matsu,0.0
math,0.0
maternity,0.0
messy,0.0
meter,0.0
methodology,0.0
misunderstand,0.0
mobility,0.0
mobilise,0.0
mobile,0.0
mixture,0.0
mixing,0.0
mixer,0.0
mixed,0.0
mix,0.0
mitigate,0.0
mitch,0.0
misunderstood,0.0
mistrust,0.0
metro,0.0
mistakenly,0.0
mistake,0.0
mist,0.0
mission,0.0
missing,0.0
miss,0.0
miso,0.0
mislead,0.0
misinterpret,0.0
misinformation,0.0
misheard,0.0
mocha,0.0
mock,0.0
mode,0.0
model,0.0
monk,0.0
monitor,0.0
monger,0.0
money,0.0
monetary,0.0
monetarily,0.0
monday,0.0
mon,0.0
momentum,0.0
momentary,0.0
momentarily,0.0
moment,0.0
mole,0.0
mojo,0.0
moisturize,0.0
moisturising,0.0
moisturisers,0.0
moisturiser,0.0
moisturise,0.0
module,0.0
modern,0.0
moderation,0.0
modelling,0.0
misfortune,0.0
misery,0.0
miserable,0.0
million,0.0
mill,0.0
milkshake,0.0
milk,0.0
milestone,0.0
mile,0.0
mildly,0.0
mild,0.0
mike,0.0
migration,0.0
might,0.0
miff,0.0
midwife,0.0
midweek,0.0
midst,0.0
midnight,0.0
middle,0.0
midday,0.0
mid,0.0
microwave,0.0
microsoft,0.0
micro,0.0
miami,0.0
mexican,0.0
millibar,0.0
min,0.0
misdiagnosed,0.0
minced,0.0
miscarriage,0.0
mirror,0.0
mirin,0.0
miranda,0.0
miracle,0.0
minute,0.0
mint,0.0
minstrel,0.0
minor,0.0
minimum,0.0
minimise,0.0
minimal,0.0
miniature,0.0
mini,0.0
mingle,0.0
ming,0.0
mine,0.0
mindset,0.0
mindless,0.0
mindfulness,0.0
mindful,0.0
mind,0.0
mincemeat,0.0
mario,0.0
marinade,0.0
passing,0.0
list,0.0
living,0.0
livid,0.0
liverpool,0.0
livelihood,0.0
little,0.0
literature,0.0
literally,0.0
literal,0.0
listening,0.0
listener,0.0
listen,0.0
liquid,0.0
limb,0.0
lipstick,0.0
lip,0.0
link,0.0
lingering,0.0
linger,0.0
ling,0.0
line,0.0
limp,0.0
limited,0.0
limitation,0.0
limit,0.0
livingstone,0.0
load,0.0
loads,0.0
loaf,0.0
lonely,0.0
loneliness,0.0
london,0.0
logo,0.0
logistics,0.0
logistical,0.0
logically,0.0
logical,0.0
logic,0.0
logbook,0.0
log,0.0
loft,0.0
lodger,0.0
locum,0.0
lockheed,0.0
lockdown,0.0
lock,0.0
location,0.0
locate,0.0
local,0.0
loathsome,0.0
loathe,0.0
loan,0.0
limbo,0.0
likewise,0.0
mariana,0.0
lem,0.0
lesser,0.0
lessen,0.0
lentil,0.0
lenses,0.0
lens,0.0
lengthy,0.0
length,0.0
lend,0.0
lems,0.0
lemonade,0.0
lemon,0.0
leith,0.0
likely,0.0
leisurely,0.0
leisure,0.0
leipzig,0.0
legs,0.0
legitimately,0.0
legging,0.0
legally,0.0
legal,0.0
legacy,0.0
leg,0.0
leftover,0.0
lesson,0.0
let,0.0
lethal,0.0
lethargic,0.0
lightly,0.0
lighting,0.0
lighthearted,0.0
lighter,0.0
light,0.0
lifting,0.0
lift,0.0
lifetime,0.0
lifestyle,0.0
lie,0.0
lid,0.0
library,0.0
liberty,0.0
liberate,0.0
liberal,0.0
liar,0.0
liable,0.0
lewis,0.0
level,0.0
leukaemia,0.0
lettuce,0.0
letterbox,0.0
letter,0.0
loner,0.0
long,0.0
longer,0.0
maldives,0.0
management,0.0
manageable,0.0
manage,0.0
man,0.0
mambo,0.0
mam,0.0
malta,0.0
malt,0.0
mall,0.0
malfunction,0.0
male,0.0
malaysia,0.0
longs,0.0
malawi,0.0
making,0.0
makeup,0.0
maker,0.0
majorly,0.0
majority,0.0
major,0.0
maisonette,0.0
maintenance,0.0
maintain,0.0
mainly,0.0
manager,0.0
managing,0.0
manchester,0.0
mandarin,0.0
march,0.0
mar,0.0
maple,0.0
map,0.0
many,0.0
manufacture,0.0
manual,0.0
mantra,0.0
manner,0.0
mann,0.0
manisa,0.0
manipulate,0.0
manila,0.0
manifesting,0.0
manifestation,0.0
manifest,0.0
manic,0.0
mania,0.0
mango,0.0
manger,0.0
mange,0.0
mandatory,0.0
mandate,0.0
main,0.0
mailbox,0.0
mail,0.0
luckily,0.0
lower,0.0
loving,0.0
lovely,0.0
loved,0.0
love,0.0
loudly,0.0
loud,0.0
lottery,0.0
lotion,0.0
lot,0.0
lost,0.0
loss,0.0
losing,0.0
loser,0.0
lose,0.0
